factor,year,ic,rank_ic,count
log_ret_60d,2024.0,-0.14119595065143858,-0.14216225335679364,242.0
log_ret_60d,2025.0,-0.08964068466145488,-0.12963966540717656,243.0
log_ret_60d,2026.0,-0.4581235007337629,-0.47142594151062484,97.0
ret_120d,2018.0,-0.1485220569341618,-0.1622963717738711,123.0
ret_120d,2019.0,-0.3793829230006582,-0.3817536729324395,244.0
ret_120d,2020.0,-0.28094399964428274,-0.2627124030502073,243.0
ret_120d,2021.0,-0.22181665661812353,-0.261963064993368,243.0
ret_120d,2022.0,-0.14352223791381039,-0.19030787357205062,242.0
ret_120d,2023.0,0.004706829406288595,0.004271306044221925,242.0
ret_120d,2024.0,-0.16901745415365357,-0.21667833383890392,242.0
ret_120d,2025.0,-0.22599654571893865,-0.2040148128076593,243.0
ret_120d,2026.0,-0.2677871747417948,-0.2606774668630339,97.0
log_ret_120d,2018.0,-0.17881991853674886,-0.1622963717738711,123.0
log_ret_120d,2019.0,-0.3483025372959273,-0.3817536729324395,244.0
log_ret_120d,2020.0,-0.25627161225008027,-0.2627124030502073,243.0
log_ret_120d,2021.0,-0.21809048751330717,-0.261963064993368,243.0
log_ret_120d,2022.0,-0.15304486963876263,-0.19030787357205062,242.0
log_ret_120d,2023.0,0.006715149453217877,0.004271306044221925,242.0
log_ret_120d,2024.0,-0.1658485515732296,-0.21667833383890392,242.0
log_ret_120d,2025.0,-0.1944656785257051,-0.2040148128076593,243.0
log_ret_120d,2026.0,-0.24521373014095232,-0.2606774668630339,97.0
momentum_accel_5_20,2018.0,0.11371714358881972,0.07528208191441306,223.0
momentum_accel_5_20,2019.0,-0.09393099971587092,-0.15044298229309938,244.0
momentum_accel_5_20,2020.0,-0.19849037954692803,-0.2207110013866099,243.0
momentum_accel_5_20,2021.0,0.009861691014296216,0.051311257967989216,243.0
momentum_accel_5_20,2022.0,-0.15593693225823965,-0.11361233780446657,242.0
momentum_accel_5_20,2023.0,0.1667369760908656,0.21249038437520773,242.0
momentum_accel_5_20,2024.0,-0.11331067139660217,-0.09341118410120612,242.0
momentum_accel_5_20,2025.0,-0.1826461013507433,-0.21085921309468253,243.0
momentum_accel_5_20,2026.0,-0.12196072120936774,-0.09246791500105196,97.0
momentum_accel_20_60,2018.0,0.08073289277221495,0.08371492378475165,183.0
momentum_accel_20_60,2019.0,0.1736683847473674,0.11738679685596157,244.0
momentum_accel_20_60,2020.0,0.04847508767572369,-0.0004014311018781957,243.0
momentum_accel_20_60,2021.0,0.06842598311271167,0.11806423232155967,243.0
momentum_accel_20_60,2022.0,-0.02612820828248892,-0.04029523619615409,242.0
momentum_accel_20_60,2023.0,-0.2933056455006637,-0.26373081584951324,242.0
momentum_accel_20_60,2024.0,-0.005231402023991285,-0.0581721608922468,242.0
momentum_accel_20_60,2025.0,0.06686002878275009,0.08851304901975542,243.0
momentum_accel_20_60,2026.0,0.12600924462258006,0.08823374710709024,97.0
ma_gap_5d,2018.0,0.07024582246545256,0.028440474429839706,239.0
ma_gap_5d,2019.0,-0.07684777051486635,-0.13082124167213938,244.0
ma_gap_5d,2020.0,-0.16494985875460116,-0.18721993908283027,243.0
ma_gap_5d,2021.0,-0.007908858423516943,0.014813643974101003,243.0
ma_gap_5d,2022.0,-0.1675944854637927,-0.10094871342199395,242.0
ma_gap_5d,2023.0,0.03170207764936319,0.1158341451312657,242.0
ma_gap_5d,2024.0,-0.03210082378796178,-0.10328527389771915,242.0
ma_gap_5d,2025.0,-0.12505037999556012,-0.15706995438739102,243.0
ma_gap_5d,2026.0,-0.16254526006277556,-0.09887176520092572,97.0
ma_slope_5d,2018.0,0.04596277601082312,-0.0045465925175414675,235.0
ma_slope_5d,2019.0,-0.030063838396724756,-0.07745189150341375,244.0
ma_slope_5d,2020.0,-0.1546697842363405,-0.1384862033148173,243.0
ma_slope_5d,2021.0,0.0224813812340878,0.044479402402899666,243.0
ma_slope_5d,2022.0,-0.08783067482961483,-0.05819162326140826,242.0
ma_slope_5d,2023.0,0.06885245427954514,0.07762481684272203,242.0
ma_slope_5d,2024.0,-0.1575012286957512,-0.20540587682557132,242.0
ma_slope_5d,2025.0,-0.08781087607095686,-0.10075418868265366,243.0
ma_slope_5d,2026.0,0.015566310250140027,0.0013807069219440352,97.0
ma_gap_10d,2018.0,0.08250660107419312,0.030621742040946594,234.0
ma_gap_10d,2019.0,-0.05945914092567605,-0.10515924645510906,244.0
ma_gap_10d,2020.0,-0.19075851316459383,-0.1508285370679807,243.0
ma_gap_10d,2021.0,-0.0013137940901443337,0.04311119139733148,243.0
ma_gap_10d,2022.0,-0.1558330583876049,-0.09106827527549269,242.0
ma_gap_10d,2023.0,0.03784273333719328,0.07876958952024965,242.0
ma_gap_10d,2024.0,-0.09789937021124918,-0.13297231779048962,242.0
ma_gap_10d,2025.0,-0.11597859282319367,-0.1193655381434815,243.0
ma_gap_10d,2026.0,-0.0870286417205735,-0.0028534609720176725,97.0
ma_slope_10d,2018.0,-0.005922335148425436,-0.017843461212179938,225.0
ma_slope_10d,2019.0,0.11981759922550882,0.04374723781437286,244.0
ma_slope_10d,2020.0,-0.060475244511780435,-0.019596528290020586,243.0
ma_slope_10d,2021.0,-0.03877561794499794,-0.003600335194970068,243.0
ma_slope_10d,2022.0,-0.031674890439314915,-0.05593425346977467,242.0
ma_slope_10d,2023.0,-0.26807314377603636,-0.23590826746868498,242.0
ma_slope_10d,2024.0,0.03372463311702897,-0.03459593516707348,242.0
ma_slope_10d,2025.0,0.12884950516713534,0.11683652220164889,243.0
ma_slope_10d,2026.0,0.006279930713648558,-0.020460761624237322,97.0
ma_gap_20d,2018.0,0.06105747227611233,0.026087464836223002,224.0
ma_gap_20d,2019.0,0.019564942624716836,-0.03465463902622372,244.0
ma_gap_20d,2020.0,-0.1636421294714522,-0.10678150941439564,243.0
ma_gap_20d,2021.0,-0.023071543786033866,0.006139386914349656,243.0
ma_gap_20d,2022.0,-0.12575992698817115,-0.08787442724321891,242.0
ma_gap_20d,2023.0,-0.12318111417163767,-0.07411598697905752,242.0
ma_gap_20d,2024.0,-0.0642412594762222,-0.09043367376639172,242.0
ma_gap_20d,2025.0,-0.01882124529423361,-0.04683028329327385,243.0
ma_gap_20d,2026.0,-0.0723424121488676,-0.0054176309699137375,97.0
ma_slope_20d,2018.0,-0.21544047726690646,-0.14385935831748295,205.0
