factor,quantile,mean_return,median_return,count
ma_slope_10d,5.0,0.009060308125428459,0.004194217494180103,404.0
ma_gap_20d,1.0,0.001639140642105701,0.0016908950132699893,404.0
ma_gap_20d,2.0,0.003298298395529411,-0.00035769645021423,404.0
ma_gap_20d,3.0,0.003337073424557952,0.0007180443113471415,404.0
ma_gap_20d,4.0,0.0018654473439427635,-0.003435768880145471,404.0
ma_gap_20d,5.0,0.008092229832266387,0.0009178786863804541,404.0
ma_slope_20d,1.0,0.017027619630671755,0.007453450654580972,401.0
ma_slope_20d,2.0,-0.0029825519608010624,0.0024050923391104404,400.0
ma_slope_20d,3.0,-0.004574776711426469,-0.009805347119487983,400.0
ma_slope_20d,4.0,-0.001767384268387807,-0.004471896210083335,400.0
ma_slope_20d,5.0,0.009182040248435065,0.004494112800219964,400.0
ma_gap_60d,1.0,0.017418992305428697,0.013897010191614552,396.0
ma_gap_60d,2.0,-0.0027611116313084496,-0.0037946740031829145,396.0
ma_gap_60d,3.0,-0.007762072175479587,-0.011444926590332694,396.0
ma_gap_60d,4.0,0.0022533217217689154,0.00030122370483870106,396.0
ma_gap_60d,5.0,0.0055064172635593085,-0.004577052163927842,396.0
ma_slope_60d,1.0,0.004611454870156203,-0.003177127374672013,393.0
ma_slope_60d,2.0,-0.0023529626243988665,-0.0003126220311425513,392.0
ma_slope_60d,3.0,0.013164404634634213,0.010782439099542969,392.0
ma_slope_60d,4.0,0.00990540092485753,0.007099094090186973,392.0
ma_slope_60d,5.0,-0.012157945230608135,-0.017537599257735223,392.0
ma_gap_120d,1.0,0.005594611074686394,0.0012289438138868853,384.0
ma_gap_120d,2.0,-0.005176053017318877,-0.0071242225860231444,384.0
ma_gap_120d,3.0,0.01486046529945223,0.014722876393288363,384.0
ma_gap_120d,4.0,0.011105877056033117,0.00567557566999422,384.0
ma_gap_120d,5.0,-0.006453967096991538,-0.013867952853923789,384.0
ma_slope_120d,1.0,0.005689110788116065,-0.0036886799478534956,381.0
ma_slope_120d,2.0,-0.001787264679992063,-0.003587180674644714,380.0
ma_slope_120d,3.0,0.009323435057203313,0.006576753919582899,380.0
ma_slope_120d,4.0,0.008608206343403564,0.0070636668562687795,380.0
ma_slope_120d,5.0,-0.0028934235154750325,-0.006879331111677109,380.0
dist_to_high_20d,1.0,0.0045343126682389195,0.00702345776899344,404.0
dist_to_high_20d,2.0,0.003684599017301508,-0.0034241376353007103,404.0
dist_to_high_20d,3.0,0.005814455321819981,0.0022066945328246272,403.0
dist_to_high_20d,4.0,0.0016824888076330357,-0.003802496181394256,404.0
dist_to_high_20d,5.0,0.0026748287513436615,-0.0023719286111515622,404.0
dist_to_low_20d,1.0,-0.0007232033078298815,-0.003858625796475065,404.0
dist_to_low_20d,2.0,0.00487528633093753,0.004116135268625276,404.0
dist_to_low_20d,3.0,-0.0018001141626161736,-0.005517255374754517,403.0
dist_to_low_20d,4.0,0.012765946977495661,0.006451118973441443,404.0
dist_to_low_20d,5.0,0.0032539207840815623,-0.0012995204790829011,404.0
dist_to_high_60d,1.0,0.01351422595595478,0.008355441819290241,396.0
dist_to_high_60d,2.0,0.0006769863838590958,0.0011152621342885101,396.0
dist_to_high_60d,3.0,-0.013179310782746293,-0.01515180502060222,395.0
dist_to_high_60d,4.0,0.005808689311842974,0.003490166475734807,396.0
dist_to_high_60d,5.0,0.007965073556201217,0.003811257383338324,396.0
dist_to_low_60d,1.0,0.0061700609232295135,0.0010294055464432985,396.0
dist_to_low_60d,2.0,0.007437962499432629,0.0060787393773962415,396.0
dist_to_low_60d,3.0,0.0034448952272223615,0.0016186845943842374,395.0
dist_to_low_60d,4.0,0.003887552482344661,-0.0022511645352139265,396.0
dist_to_low_60d,5.0,-0.006112826388910397,-0.010146419682651356,396.0
dist_to_high_120d,1.0,0.009039566424324994,0.006994710817183211,384.0
