portfolio,total_return,annual_return,annual_volatility,sharpe,sortino,calmar,max_drawdown,win_rate,profit_loss_ratio,trade_count,avg_holding_days,turnover,single_period_max_loss,max_consecutive_losses,excess_total_return,excess_vs_buy_hold,strategy_name,kind,fast,slow,window,risk_filter,buy_hold_total_return,beats_buy_hold
strategy,2.6780777280134873,0.17417839191710738,0.34366982990698597,0.506818977866776,0.5591157743984964,0.3712672183533774,-0.4691456269411912,0.4789053591790194,1.2860412538479078,88.0,19.045454545454547,88.0,-0.11015806886410973,9.0,-0.8122111106209795,0.36660231817740563,ma_60_120_vol_pct_lt_80,ma,60.0,120.0,,vol_pct_lt_80,2.3114754098360817,True
strategy,2.3695572498440662,0.161564222496563,0.3909552646670541,0.4132550117573031,0.443343314681325,0.36861680645070377,-0.4382985790914269,0.4725943970767357,1.3084595816799043,89.0,17.377777777777776,89.0,-0.16675690308608548,12.0,-0.7712956629856054,0.05808184000798455,ma_20_60_close_gt_ma120,ma,20.0,60.0,,close_gt_ma120,2.3114754098360817,True
strategy,3.0998784379816033,0.1900003993179411,0.4115901140908385,0.4616252743038618,0.5517623291675673,0.3614524230924853,-0.5256581148145338,0.4803370786516854,1.2567521804939976,79.0,25.9,79.0,-0.16675690308608548,9.0,-0.6819700936947777,0.7884030281455217,ma_60_120_limit_tradable,ma,60.0,120.0,,limit_tradable,2.3114754098360817,True
strategy,3.162398131149514,0.1922228256619538,0.359323553636782,0.5349574880812294,0.627837498678434,0.3581564936110442,-0.5367006576480131,0.48289345063538613,1.2574643321401102,82.0,24.073170731707318,82.0,-0.11015806886410973,8.0,-0.7675617941613151,0.8509227213134323,ma_60_250_vol_pct_lt_80,ma,60.0,250.0,,vol_pct_lt_80,2.3114754098360817,True
strategy,3.473964611085158,0.20288017856090534,0.43946723395004156,0.46165029583062994,0.5892614686450248,0.3576411136055746,-0.5672730870216791,0.47377472055030095,1.2860710325821325,85.0,26.25581395348837,85.0,-0.16675690308608548,9.0,-0.5784518148987969,1.1624892012490764,ma_10_180_none,ma,10.0,180.0,,none,2.3114754098360817,True
strategy,3.7691917531233585,0.21239427662304577,0.43427162522443485,0.4890816352859315,0.6166114843811862,0.35358175139127024,-0.6006935476373391,0.4761491760624458,1.2804873514138266,85.0,26.0,85.0,-0.16675690308608548,11.0,-0.5667922268923099,1.4577163432872768,ma_20_180_limit_tradable,ma,20.0,180.0,,limit_tradable,2.3114754098360817,True
strategy,3.343477048997242,0.19849852484939667,0.3627552179079276,0.547196883877156,0.6367506773455897,0.3512435676068814,-0.5651307046042764,0.4725158562367865,1.3267109370454926,94.0,19.21276595744681,94.0,-0.11015806886410973,15.0,-0.7520979493451574,1.0320016391611602,ma_20_180_vol_pct_lt_80,ma,20.0,180.0,,vol_pct_lt_80,2.3114754098360817,True
strategy,2.3475543682873825,0.1606264099390602,0.39017671125807796,0.4116760567824246,0.44470756582272797,0.3493369900090056,-0.45980361236558254,0.44469525959367945,1.4619517738395915,217.0,7.165137614678899,217.0,-0.16675690308608548,15.0,-0.7742429571010709,0.036078958451300824,ma_10_180_amount_liquidity,ma,10.0,180.0,,amount_liquidity,2.3114754098360817,True
strategy,2.764977552845417,0.17756368621698648,0.4202527873064587,0.42251637961773386,0.5100827747424895,0.34756332324790834,-0.5108815411180042,0.48034515819750717,1.250623790133237,77.0,25.94871794871795,77.0,-0.16675690308608548,9.0,-0.6900160569151609,0.45350214300933533,ma_30_120_limit_tradable,ma,30.0,120.0,,limit_tradable,2.3114754098360817,True
strategy,2.890369202418462,0.1823296861477084,0.4238686094611496,0.43015614291300835,0.5253094205888588,0.34224078463622215,-0.5327526534907638,0.479108635097493,1.2568592139541024,79.0,26.1,79.0,-0.16675690308608548,10.0,-0.6715635757702377,0.5788937925823805,ma_20_120_limit_tradable,ma,20.0,120.0,,limit_tradable,2.3114754098360817,True
strategy,3.265630201663236,0.1958292222107305,0.4224457606905621,0.4635606282108574,0.5671170208689921,0.3395976104302348,-0.5766507660717497,0.4820960698689956,1.2421895299450927,77.0,28.564102564102566,77.0,-0.16675690308608548,7.0,-0.6438088708840649,0.9541547918271545,ma_30_180_gap_risk,ma,30.0,180.0,,gap_risk,2.3114754098360817,True
strategy,2.7468183197609086,0.176861973753893,0.38159977651840543,0.46347504541937945,0.49294315654193016,0.33779494906646756,-0.5235779109269395,0.4827586206896552,1.2670728162005362,63.0,25.5,63.0,-0.16675690308608548,8.0,-0.7603545508923798,0.43534290992482694,ma_5_120_mdd60_gt_-25,ma,5.0,120.0,,mdd60_gt_-25,2.3114754098360817,True
strategy,2.7462396107266382,0.1768395621874217,0.41279718845943036,0.4283933300209516,0.5098602349350854,0.3364155469183909,-0.5256581148145338,0.4803370786516854,1.2484441321211524,77.0,26.58974358974359,77.0,-0.16675690308608548,9.0,-0.707138102995219,0.43476420089055656,ma_60_120_none,ma,60.0,120.0,,none,2.3114754098360817,True
strategy,3.3578206834584474,0.19898577388493321,0.4354185226252476,0.456998872453101,0.5738933331130113,0.3312600487679423,-0.6006935476373391,0.4761491760624458,1.2727386182807952,83.0,26.642857142857142,83.0,-0.16675690308608548,11.0,-0.6010750947812623,1.0463452736223657,ma_20_180_none,ma,20.0,180.0,,none,2.3114754098360817,True
strategy,3.412536937144278,0.20083164958402855,0.4130646720588354,0.4861990462244683,0.5927644219487423,0.3291591833022866,-0.6101353380731681,0.483704974271012,1.2375698771640176,71.0,31.583333333333332,71.0,-0.16675690308608548,8.0,-0.654288261647846,1.1010615273081963,ma_60_250_gap_risk,ma,60.0,250.0,,gap_risk,2.3114754098360817,True
