factor,horizon,observations,coverage_rate,missing_rate,pearson_ic,spearman_ic,rolling_rank_ic_mean,rolling_rank_ic_std,icir,prediction_score,stability_score,monotonicity_score,non_redundancy_score,low_turnover_score,explainability_score,factor_score,suitable_for_model,overfit_risk
realized_vol_60d,5,1979,0.9681996086105675,0.03180039138943247,-0.02625238648252326,-0.01646143331292875,-0.0711154904391375,0.1194293094674187,-0.5954609530631038,0.20576791641160938,0.8333333333333333,0.39999999999999997,0.0,0.9465393794749403,0.7,0.4530509795376435,False,medium
dist_to_high_60d,5,1979,0.9681996086105675,0.03180039138943247,-0.03938784215718976,-0.01753255551512648,-0.07432846811269052,0.11402743503610703,-0.6518472338622214,0.219156943939081,0.8333333333333333,0.09999999999999999,0.1785618776044967,0.802834008097166,0.9,0.44448143229878206,False,high
ma_slope_10d,5,2021,0.988747553816047,0.011252446183953047,0.026418737583964888,0.014644744440202563,-0.03432558678177599,0.11955709181763538,-0.2871062373625984,0.18305930550253202,0.3982173484737095,0.7,0.1508634875434709,0.8419958419958419,0.9,0.4363903686766063,False,high
kdj_k,5,2031,0.9936399217221135,0.006360078277886538,-0.014159867518408042,-0.02067164417907421,-0.06519754877389658,0.07779629084217402,-0.8380547204514337,0.25839555223842764,0.8333333333333333,0.09999999999999999,0.07674465668916075,0.7459677419354839,0.9,0.4352938050351175,False,high
volatility_20d,5,2019,0.9877690802348337,0.012230919765166326,0.04518922447264873,0.045503565474685675,0.008339287769297017,0.12285708531329753,0.06787795549626642,0.5687945684335709,0.3456557332740442,0.09999999999999999,0.0,0.8896218117854001,0.9,0.4337316983634201,False,high
dist_to_low_20d,5,2019,0.9877690802348337,0.012230919765166326,-0.013491549607903245,0.022318496589166216,-0.04186209029749492,0.09790644374838214,-0.42757237107988283,0.2789812073645777,0.5942390377465495,0.3,0.14872840349503846,0.7303249097472925,0.9,0.4328839212576682,False,high
close_zscore_60d,5,1980,0.9686888454011742,0.03131115459882583,-0.008995536855529509,-0.015382201467076646,-0.10137540688698488,0.08207482500479013,-1.235158367758546,0.19227751833845808,0.9444444444444444,0.09999999999999999,0.03596916450417409,0.7948717948717948,0.7,0.4164546985532319,False,high
ret_20d,5,2019,0.9877690802348337,0.012230919765166326,-0.009265943850599714,0.010953957437466971,-0.05426533173725134,0.09832282070780611,-0.5519098348339296,0.13692446796833713,0.6666666666666666,0.49999999999999994,0.0,0.7588147036759191,0.9,0.4152921440914264,False,high
realized_vol_20d,5,2019,0.9877690802348337,0.012230919765166326,0.04518922447264873,0.045503565474685675,0.008339287769297017,0.12285708531329753,0.06787795549626642,0.5687945684335709,0.3456557332740442,0.09999999999999999,0.0,0.8896218117854001,0.7,0.4137316983634201,False,high
downside_vol_60d,5,1980,0.9686888454011742,0.03131115459882583,0.019077774337934755,0.029120397578208626,-0.000655908816994147,0.12338015537729789,-0.005316161379343141,0.3640049697276078,0.28309393915712094,0.3,0.11649086740973447,0.9470167064439141,0.9,0.41299557950555815,False,medium
